home_team,away_team,date,home_goals,home_assists,home_pens_made,home_pens_att,home_shots,home_shots_on_target,home_cards_yellow,home_cards_red,home_touches,home_tackles,home_interceptions,home_blocks,home_xg,home_npxg,home_xg_assist,home_sca,home_gca,home_passes_completed,home_passes,home_passes_pct,home_progressive_passes,home_carries,home_progressive_carries,home_take_ons,home_take_ons_won,home_passes_total_distance,home_passes_progressive_distance,home_passes_completed_short,home_passes_short,home_passes_pct_short,home_passes_completed_medium,home_passes_medium,home_passes_pct_medium,home_passes_completed_long,home_passes_long,home_passes_pct_long,home_pass_xa,home_assisted_shots,home_passes_into_final_third,home_passes_into_penalty_area,home_crosses_into_penalty_area,home_passes_live,home_passes_dead,home_passes_free_kicks,home_through_balls,home_passes_switches,home_crosses,home_throw_ins,home_corner_kicks,home_corner_kicks_in,home_corner_kicks_out,home_corner_kicks_straight,home_passes_offsides,home_passes_blocked,home_tackles_won,home_tackles_def_3rd,home_tackles_mid_3rd,home_tackles_att_3rd,home_challenge_tackles,home_challenges,home_challenge_tackles_pct,home_challenges_lost,home_blocked_shots,home_blocked_passes,home_tackles_interceptions,home_clearances,home_errors,home_touches_def_pen_area,home_touches_def_3rd,home_touches_mid_3rd,home_touches_att_3rd,home_touches_att_pen_area,home_touches_live_ball,home_take_ons_won_pct,home_take_ons_tackled,home_take_ons_tackled_pct,home_carries_distance,home_carries_progressive_distance,home_carries_into_final_third,home_carries_into_penalty_area,home_miscontrols,home_dispossessed,home_passes_received,home_progressive_passes_received,home_cards_yellow_red,home_fouls,home_fouled,home_offsides,home_pens_won,home_pens_conceded,home_own_goals,home_ball_recoveries,home_aerials_won,home_aerials_lost,home_aerials_won_pct,away_goals,away_assists,away_pens_made,away_pens_att,away_shots,away_shots_on_target,away_cards_yellow,away_cards_red,away_touches,away_tackles,away_interceptions,away_blocks,away_xg,away_npxg,away_xg_assist,away_sca,away_gca,away_passes_completed,away_passes,away_passes_pct,away_progressive_passes,away_carries,away_progressive_carries,away_take_ons,away_take_ons_won,away_passes_total_distance,away_passes_progressive_distance,away_passes_completed_short,away_passes_short,away_passes_pct_short,away_passes_completed_medium,away_passes_medium,away_passes_pct_medium,away_passes_completed_long,away_passes_long,away_passes_pct_long,away_pass_xa,away_assisted_shots,away_passes_into_final_third,away_passes_into_penalty_area,away_crosses_into_penalty_area,away_passes_live,away_passes_dead,away_passes_free_kicks,away_through_balls,away_passes_switches,away_crosses,away_throw_ins,away_corner_kicks,away_corner_kicks_in,away_corner_kicks_out,away_corner_kicks_straight,away_passes_offsides,away_passes_blocked,away_tackles_won,away_tackles_def_3rd,away_tackles_mid_3rd,away_tackles_att_3rd,away_challenge_tackles,away_challenges,away_challenge_tackles_pct,away_challenges_lost,away_blocked_shots,away_blocked_passes,away_tackles_interceptions,away_clearances,away_errors,away_touches_def_pen_area,away_touches_def_3rd,away_touches_mid_3rd,away_touches_att_3rd,away_touches_att_pen_area,away_touches_live_ball,away_take_ons_won_pct,away_take_ons_tackled,away_take_ons_tackled_pct,away_carries_distance,away_carries_progressive_distance,away_carries_into_final_third,away_carries_into_penalty_area,away_miscontrols,away_dispossessed,away_passes_received,away_progressive_passes_received,away_cards_yellow_red,away_fouls,away_fouled,away_offsides,away_pens_won,away_pens_conceded,away_own_goals,away_ball_recoveries,away_aerials_won,away_aerials_lost,away_aerials_won_pct
Crystal Palace,Arsenal,2022-08-05,0,0,0,0,10,2,1,0,726,18,8,10,1.2,1.2,1.1,18,0,514,609,84.4,34,524,20,29,16,9361,3028,226,243,93.0,228,245,93.1,48,89,53.9,1.2,8,29,6,2,560,48,13,2,5,19,25,3,1,2,0,1,11,9,8,6,4,3,16,18.8,13,4,6,26,18,0,75,266,310,160,26,726,55.2,13,44.8,2702,1115,21,7,17,16,512,34,0,16,9,1,0,0,1,56,10,14,41.7,1,1,0,0,10,2,2,0,599,29,9,17,1.0,1.0,0.6,18,2,378,469,80.6,40,359,15,17,13,6643,2559,171,201,85.1,156,176,88.6,34,60,56.7,0.8,7,34,10,0,429,38,16,0,4,11,14,5,5,0,0,2,6,16,17,10,2,13,29,44.8,16,6,11,38,24,0,79,220,254,133,27,599,76.5,3,17.6,1962,1008,8,5,19,15,376,39,0,11,16,2,0,0,0,55,14,10,58.3
Fulham,Liverpool,2022-08-06,2,1,1,1,8,2,2,0,474,24,10,9,1.2,0.5,0.4,14,4,203,340,59.7,31,233,10,11,5,3560,1911,106,141,75.2,56,91,61.5,28,74,37.8,0.3,6,24,5,2,287,49,12,1,2,19,22,4,2,1,0,4,14,13,13,4,7,11,15,73.3,4,3,6,34,31,0,71,158,196,124,17,473,45.5,5,45.5,916,433,5,4,21,6,201,31,0,7,8,4,1,0,0,64,23,13,63.9,2,1,0,0,11,3,0,0,784,11,10,16,1.2,1.2,0.9,20,4,514,675,76.1,53,418,11,17,4,9372,3149,236,280,84.3,211,258,81.8,57,103,55.3,0.8,8,43,14,2,612,59,12,4,8,18,35,4,0,4,0,4,7,9,6,3,2,5,10,50.0,5,4,12,21,16,0,69,260,349,179,33,784,23.5,11,64.7,2013,1012,7,4,15,13,510,52,0,9,7,4,0,1,0,63,13,23,36.1
Tottenham Hotspur,Southampton,2022-08-06,3,3,0,0,18,8,3,0,709,24,3,12,1.6,1.6,1.4,33,6,501,604,82.9,57,303,19,13,7,9335,3092,198,223,88.8,214,242,88.4,72,99,72.7,1.4,15,37,12,4,558,44,6,1,12,24,20,10,1,5,0,2,12,15,7,13,4,7,16,43.8,9,3,9,27,20,0,58,217,322,176,30,709,53.8,5,38.5,1726,919,12,8,15,9,500,57,0,11,5,2,0,0,0,56,13,11,54.2,1,1,0,0,10,2,0,0,526,14,13,13,0.5,0.5,0.4,17,2,336,422,79.6,31,282,12,18,9,5454,1700,178,186,95.7,134,161,83.2,22,59,37.3,0.7,8,35,10,2,384,38,13,1,0,18,14,2,1,1,0,0,10,6,6,4,4,5,12,41.7,7,3,10,27,18,0,66,155,209,172,22,526,50.0,7,38.9,1623,646,10,1,11,14,329,30,0,6,11,0,0,0,1,54,10,13,43.5
Newcastle United,Nottingham Forest,2022-08-06,2,1,0,0,23,9,0,0,634,19,11,8,1.7,1.7,1.7,45,4,415,526,78.9,69,319,27,22,12,7013,2773,200,231,86.6,163,195,83.6,38,71,53.5,1.8,21,35,23,5,477,47,12,4,3,25,21,11,3,3,2,2,8,13,5,5,9,11,16,68.8,5,2,6,30,14,0,40,138,245,257,50,634,54.5,7,31.8,1984,1015,13,11,16,8,412,68,0,9,14,2,0,0,0,74,12,16,42.9,0,0,0,0,5,0,3,0,475,15,10,13,0.3,0.3,0.1,8,0,243,342,71.1,16,202,12,17,5,4762,1864,82,105,78.1,129,154,83.8,30,73,41.1,0.3,2,16,3,2,289,53,11,0,0,9,26,1,1,0,0,0,6,11,8,7,0,7,19,36.8,12,6,7,25,37,0,103,249,172,59,8,475,29.4,11,64.7,1132,662,5,2,15,8,243,16,0,14,9,0,0,0,0,52,16,12,57.1
Leeds United,Wolverhampton Wanderers,2022-08-06,1,1,0,0,12,4,2,0,515,21,14,13,0.8,0.8,0.7,18,0,295,399,73.9,37,288,15,14,7,5083,2117,127,156,81.4,127,156,81.4,28,62,45.2,0.5,9,30,7,1,357,42,9,0,3,20,16,6,1,4,1,0,4,14,9,7,5,14,39,35.9,25,3,10,35,23,0,65,166,221,132,26,515,50.0,6,42.9,1282,635,14,4,13,10,292,37,0,13,8,0,0,0,0,62,9,7,56.3,1,1,0,0,15,6,0,0,720,16,14,6,1.3,1.3,1.3,27,2,502,597,84.1,44,507,20,41,25,8975,3114,231,254,90.9,203,231,87.9,52,83,62.7,1.1,13,30,8,3,544,52,13,1,2,20,23,4,1,3,0,1,10,11,12,3,1,6,13,46.2,7,3,3,30,17,0,87,296,261,173,23,720,61.0,14,34.1,1844,948,13,7,18,7,501,44,0,9,13,1,0,0,1,65,7,9,43.8
