home_team,away_team,date,home_goals,home_assists,home_pens_made,home_pens_att,home_shots,home_shots_on_target,home_cards_yellow,home_cards_red,home_touches,home_tackles,home_interceptions,home_blocks,home_xg,home_npxg,home_xg_assist,home_sca,home_gca,home_passes_completed,home_passes,home_passes_pct,home_progressive_passes,home_carries,home_progressive_carries,home_take_ons,home_take_ons_won,home_passes_total_distance,home_passes_progressive_distance,home_passes_completed_short,home_passes_short,home_passes_pct_short,home_passes_completed_medium,home_passes_medium,home_passes_pct_medium,home_passes_completed_long,home_passes_long,home_passes_pct_long,home_pass_xa,home_assisted_shots,home_passes_into_final_third,home_passes_into_penalty_area,home_crosses_into_penalty_area,home_passes_live,home_passes_dead,home_passes_free_kicks,home_through_balls,home_passes_switches,home_crosses,home_throw_ins,home_corner_kicks,home_corner_kicks_in,home_corner_kicks_out,home_corner_kicks_straight,home_passes_offsides,home_passes_blocked,home_tackles_won,home_tackles_def_3rd,home_tackles_mid_3rd,home_tackles_att_3rd,home_challenge_tackles,home_challenges,home_challenge_tackles_pct,home_challenges_lost,home_blocked_shots,home_blocked_passes,home_tackles_interceptions,home_clearances,home_errors,home_touches_def_pen_area,home_touches_def_3rd,home_touches_mid_3rd,home_touches_att_3rd,home_touches_att_pen_area,home_touches_live_ball,home_take_ons_won_pct,home_take_ons_tackled,home_take_ons_tackled_pct,home_carries_distance,home_carries_progressive_distance,home_carries_into_final_third,home_carries_into_penalty_area,home_miscontrols,home_dispossessed,home_passes_received,home_progressive_passes_received,home_cards_yellow_red,home_fouls,home_fouled,home_offsides,home_pens_won,home_pens_conceded,home_own_goals,home_ball_recoveries,home_aerials_won,home_aerials_lost,home_aerials_won_pct,away_goals,away_assists,away_pens_made,away_pens_att,away_shots,away_shots_on_target,away_cards_yellow,away_cards_red,away_touches,away_tackles,away_interceptions,away_blocks,away_xg,away_npxg,away_xg_assist,away_sca,away_gca,away_passes_completed,away_passes,away_passes_pct,away_progressive_passes,away_carries,away_progressive_carries,away_take_ons,away_take_ons_won,away_passes_total_distance,away_passes_progressive_distance,away_passes_completed_short,away_passes_short,away_passes_pct_short,away_passes_completed_medium,away_passes_medium,away_passes_pct_medium,away_passes_completed_long,away_passes_long,away_passes_pct_long,away_pass_xa,away_assisted_shots,away_passes_into_final_third,away_passes_into_penalty_area,away_crosses_into_penalty_area,away_passes_live,away_passes_dead,away_passes_free_kicks,away_through_balls,away_passes_switches,away_crosses,away_throw_ins,away_corner_kicks,away_corner_kicks_in,away_corner_kicks_out,away_corner_kicks_straight,away_passes_offsides,away_passes_blocked,away_tackles_won,away_tackles_def_3rd,away_tackles_mid_3rd,away_tackles_att_3rd,away_challenge_tackles,away_challenges,away_challenge_tackles_pct,away_challenges_lost,away_blocked_shots,away_blocked_passes,away_tackles_interceptions,away_clearances,away_errors,away_touches_def_pen_area,away_touches_def_3rd,away_touches_mid_3rd,away_touches_att_3rd,away_touches_att_pen_area,away_touches_live_ball,away_take_ons_won_pct,away_take_ons_tackled,away_take_ons_tackled_pct,away_carries_distance,away_carries_progressive_distance,away_carries_into_final_third,away_carries_into_penalty_area,away_miscontrols,away_dispossessed,away_passes_received,away_progressive_passes_received,away_cards_yellow_red,away_fouls,away_fouled,away_offsides,away_pens_won,away_pens_conceded,away_own_goals,away_ball_recoveries,away_aerials_won,away_aerials_lost,away_aerials_won_pct
Swansea City,Manchester United,2017-08-19,0,0,0,0,5,0,1,0,556,21,10,5,0.4,0.4,0.3,8,0,343,458,74.9,27,329,14,8,5,5747,2332,181,209,86.6,117,153,76.5,33,66,50.0,0.4,2,19,5,3,407,50,11,2,7,22,23,3,2,1,0,1,16,14,12,6,3,12,25,48.0,13,3,2,31,29,3,60,188,240,133,11,556,62.5,3,37.5,1516,746,14,3,13,13,338,26,0,12,11,1,0,0,0,57,19,11,63.3,4,3,0,0,17,8,1,0,759,16,17,10,3.1,3.1,1.6,28,7,542,637,85.1,38,419,23,25,13,8245,2715,287,315,91.1,181,206,87.9,41,76,53.9,1.1,12,29,5,0,596,41,12,2,3,20,13,5,3,2,0,0,3,11,6,7,3,3,8,37.5,5,0,10,33,32,0,45,157,402,209,22,759,52.0,12,48.0,2204,1152,25,4,14,9,540,37,0,11,12,0,0,0,0,56,11,19,36.7
Bournemouth,Watford,2017-08-19,0,0,0,0,6,2,1,0,577,11,8,13,1.0,1.0,0.3,9,0,366,483,75.8,42,281,15,9,6,7676,2895,112,139,80.6,204,241,84.6,49,91,53.8,0.9,3,49,4,1,423,59,21,0,1,15,21,8,5,1,0,1,7,7,4,6,1,5,14,35.7,9,5,8,19,34,0,71,221,229,132,20,577,66.7,3,33.3,1713,860,11,6,9,17,363,42,0,6,13,1,0,0,0,42,15,16,48.4,2,0,0,0,19,7,3,0,523,20,18,9,2.4,2.4,1.2,35,3,295,398,74.1,43,304,21,14,9,5802,2467,126,139,90.6,113,146,77.4,49,84,58.3,0.8,12,28,9,1,346,45,6,1,2,20,26,5,1,1,0,7,11,13,9,10,1,3,9,33.3,6,3,6,38,27,0,66,166,209,154,33,523,64.3,5,35.7,1633,861,13,10,20,6,294,43,0,14,6,7,0,0,0,53,16,15,51.6
Southampton,West Ham United,2017-08-19,3,1,2,2,12,3,1,0,694,10,8,8,2.1,0.5,0.4,28,6,505,613,82.4,74,466,29,6,3,8014,2842,259,289,89.6,213,245,86.9,23,61,37.7,0.9,11,36,14,1,570,42,8,0,3,26,16,7,0,3,2,1,6,7,5,5,0,2,8,25.0,6,2,6,18,21,1,40,143,345,212,23,692,50.0,3,50.0,2365,1499,29,4,9,9,500,74,0,18,10,1,2,0,0,56,16,25,39.0,2,0,0,0,16,8,1,1,419,12,12,8,2.0,2.0,0.8,27,2,213,318,67.0,17,161,2,8,6,5307,2327,57,77,74.0,105,135,77.8,50,98,51.0,0.6,12,19,6,5,268,50,19,1,4,18,13,2,0,1,1,0,8,9,7,5,0,3,6,50.0,3,3,5,24,37,0,70,155,189,80,14,419,75.0,2,25.0,1003,311,4,0,4,8,208,17,0,10,18,0,0,2,0,35,25,16,61.0
Leicester City,Brighton & Hove Albion,2017-08-19,2,1,0,0,14,4,1,0,562,11,6,7,2.0,2.0,1.3,22,3,355,470,75.5,33,304,16,14,8,6443,2362,161,185,87.0,140,182,76.9,44,79,55.7,0.9,8,20,3,1,429,40,11,1,2,19,17,6,5,0,0,1,5,9,5,6,0,4,9,44.4,5,3,4,17,19,0,46,159,296,114,19,562,57.1,6,42.9,2017,928,14,5,15,5,353,32,0,8,10,1,0,0,0,51,17,16,51.5,0,0,0,0,5,2,0,0,660,11,9,9,0.2,0.2,0.1,8,0,463,573,80.8,55,326,18,9,5,9797,3363,142,159,89.3,228,262,87.0,87,132,65.9,0.3,2,36,5,2,526,45,9,0,9,17,22,2,0,2,0,2,7,6,8,3,0,6,14,42.9,8,6,3,20,22,2,68,246,316,106,9,660,55.6,4,44.4,2090,911,8,2,20,7,461,54,0,10,7,2,0,0,0,47,16,17,48.5
Burnley,West Bromwich Albion,2017-08-19,0,0,0,0,20,0,1,0,632,9,7,5,1.3,1.3,0.9,36,0,406,533,76.2,52,277,15,9,9,8150,3127,154,181,85.1,182,218,83.5,66,118,55.9,0.7,12,50,11,7,481,51,13,0,3,33,22,5,3,1,0,1,6,8,3,5,1,2,8,25.0,6,2,3,16,35,1,37,155,330,151,20,632,100.0,0,0.0,1685,1051,12,1,14,9,402,52,0,11,11,1,0,0,0,33,23,18,56.1,1,1,0,0,8,1,0,1,374,9,8,8,0.9,0.9,0.7,14,2,147,274,53.6,17,129,5,8,6,3097,1773,63,88,71.6,43,76,56.6,32,89,36.0,0.6,5,16,1,1,208,63,11,0,2,13,29,5,5,0,0,3,5,3,4,3,2,0,9,0.0,9,5,3,17,39,0,73,165,148,65,9,374,75.0,2,25.0,760,414,8,3,19,7,144,17,0,11,11,3,0,0,0,33,18,23,43.9
Liverpool,Crystal Palace,2017-08-19,1,0,0,0,23,13,1,0,858,24,6,5,2.5,2.5,1.5,41,2,636,763,83.4,71,549,33,17,13,10854,3749,289,327,88.4,269,312,86.2,60,87,69.0,1.4,14,59,11,3,714,47,14,2,2,22,23,4,2,0,0,2,13,16,6,14,4,6,16,37.5,10,1,4,30,11,0,39,156,488,221,34,858,76.5,4,23.5,2965,1551,22,5,16,17,629,71,0,12,13,2,0,0,0,65,17,13,56.7,0,0,0,0,4,1,3,0,430,21,29,16,0.7,0.7,0.7,8,0,198,305,64.9,22,231,6,16,10,4286,2412,89,107,83.2,61,91,67.0,45,95,47.4,0.4,3,28,5,0,255,46,12,0,1,6,20,2,0,0,0,4,4,11,11,8,2,4,17,23.5,13,5,11,50,28,1,81,194,162,76,9,430,62.5,6,37.5,1197,420,5,1,12,18,195,21,0,13,12,4,0,0,0,53,13,17,43.3
Stoke City,Arsenal,2017-08-19,1,1,0,0,11,4,0,0,356,19,8,14,0.7,0.7,0.6,19,2,151,243,62.1,16,141,8,12,7,3390,1900,63,80,78.8,57,81,70.4,29,71,40.8,0.7,8,13,5,2,197,42,14,2,3,10,13,2,1,0,0,4,3,11,13,5,1,4,20,20.0,16,6,8,27,37,1,85,168,132,66,10,356,58.3,5,41.7,1117,524,8,3,10,10,146,16,0,6,11,4,0,0,0,38,17,9,65.4,0,0,0,0,18,6,0,0,861,15,7,5,1.5,1.5,1.3,33,0,674,785,85.9,85,606,32,20,16,11064,3623,319,353,90.4,298,323,92.3,44,76,57.9,1.8,13,58,24,7,733,49,10,7,7,24,21,9,3,3,0,3,10,11,7,4,4,5,12,41.7,7,2,3,22,8,0,32,154,437,280,34,861,80.0,4,20.0,3481,1891,35,4,14,15,673,85,0,11,5,3,0,0,0,51,9,17,34.6
Huddersfield Town,Newcastle United,2017-08-20,1,1,0,0,7,3,3,0,638,24,18,20,0.3,0.3,0.1,7,2,375,505,74.3,32,350,20,16,5,7000,2298,154,181,85.1,170,203,83.7,44,91,48.4,0.2,3,13,3,0,451,50,15,1,3,20,23,7,4,1,0,4,15,13,14,9,1,7,16,43.8,9,5,15,42,31,0,67,236,274,137,10,638,31.3,11,68.8,1941,929,19,1,13,7,371,31,0,13,10,4,0,0,0,53,23,11,67.6,0,0,0,0,13,5,4,0,562,18,7,14,0.7,0.7,0.6,22,0,325,463,70.2,41,223,12,16,9,6234,2671,142,172,82.6,125,158,79.1,52,99,52.5,0.6,9,24,8,2,400,58,16,0,2,14,29,3,2,1,0,5,17,13,10,6,2,11,16,68.8,5,1,13,25,28,1,51,178,277,116,19,562,56.3,7,43.8,1043,508,6,3,8,17,325,41,0,10,12,5,0,0,0,47,11,23,32.4
Tottenham Hotspur,Chelsea,2017-08-20,0,0,0,0,18,6,4,0,758,14,4,10,0.7,0.7,0.6,32,0,536,659,81.3,68,366,19,27,16,10558,3616,185,212,87.3,262,300,87.3,80,121,66.1,0.7,14,65,11,0,591,68,21,0,4,37,25,14,8,3,0,0,18,9,9,5,0,6,15,40.0,9,3,7,18,15,1,41,154,395,215,30,758,59.3,11,40.7,1891,912,16,5,10,20,531,64,0,14,20,0,0,0,0,41,9,14,39.1,2,1,0,0,9,2,3,0,450,31,10,20,0.7,0.7,0.7,17,4,213,310,68.7,22,217,14,15,9,4166,1875,93,106,87.7,76,102,74.5,36,81,44.4,0.4,8,10,7,2,275,35,13,1,1,15,8,3,1,2,0,0,8,22,18,12,1,11,27,40.7,16,6,14,41,44,1,84,209,174,76,13,450,60.0,6,40.0,1424,707,9,2,17,8,211,22,0,21,14,0,0,0,1,47,14,9,60.9
Manchester City,Everton,2017-08-21,1,0,0,0,19,6,3,1,705,12,10,11,1.1,1.1,0.9,36,2,494,618,79.9,59,369,37,20,13,8056,3076,237,270,87.8,180,220,81.8,48,82,58.5,1.0,15,41,15,0,563,55,11,1,11,24,29,7,0,6,0,0,7,8,6,5,1,5,8,62.5,3,0,11,22,7,1,43,163,338,212,35,705,65.0,7,35.0,2478,1471,24,7,17,12,486,58,1,7,8,0,0,0,0,48,22,12,64.7,1,1,0,0,7,2,4,1,457,19,16,8,0.6,0.6,0.6,13,2,224,346,64.7,13,150,6,8,3,4509,1864,92,110,83.6,89,117,76.1,36,92,39.1,0.3,7,16,2,0,285,58,7,1,0,9,31,1,0,1,0,3,13,12,17,1,1,7,20,35.0,13,4,4,35,32,1,81,208,159,90,8,457,37.5,5,62.5,837,380,6,1,10,7,223,13,1,9,7,3,0,0,0,44,12,22,35.3
Bournemouth,Manchester City,2017-08-26,1,0,0,0,9,3,5,0,409,20,12,17,0.5,0.5,0.3,15,2,168,289,58.1,18,182,10,14,10,3131,1300,67,85,78.8,76,103,73.8,19,80,23.8,0.5,3,8,6,0,236,53,17,1,1,9,19,2,2,0,0,0,7,13,13,4,3,5,18,27.8,13,4,13,32,35,1,94,203,142,68,14,409,71.4,4,28.6,966,528,8,0,8,9,167,17,0,13,14,0,0,0,0,49,13,23,36.1,2,2,0,0,19,8,6,1,804,13,12,9,1.4,1.4,1.1,31,4,569,675,84.3,72,474,31,18,13,9985,3249,254,273,93.0,230,268,85.8,63,82,76.8,1.1,13,56,13,1,617,55,12,2,6,27,35,5,2,2,0,3,18,8,7,2,4,4,14,28.6,10,3,6,25,36,0,51,180,365,261,37,804,72.2,5,27.8,2610,1455,24,6,16,15,564,71,1,14,13,3,0,0,0,57,23,13,63.9
Huddersfield Town,Southampton,2017-08-26,0,0,0,0,16,6,0,0,548,17,11,9,1.4,1.4,1.1,28,0,302,443,68.2,36,277,20,12,8,5526,2482,138,168,82.1,108,147,73.5,41,89,46.1,0.9,14,33,9,6,387,56,13,0,3,32,27,5,1,3,0,0,10,14,4,9,4,4,13,30.8,9,1,8,28,22,0,44,149,223,185,19,548,66.7,4,33.3,1702,712,17,2,15,12,296,34,0,10,10,0,0,0,0,64,24,17,58.5,0,0,0,0,6,2,1,0,659,16,10,11,0.7,0.7,0.7,12,0,412,546,75.5,33,375,12,13,9,7049,2770,186,219,84.9,178,205,86.8,35,90,38.9,0.4,6,25,4,1,493,50,9,4,3,8,28,4,3,0,0,3,11,11,7,9,0,4,12,33.3,8,6,5,26,34,2,67,225,365,77,7,659,69.2,4,30.8,1805,927,12,2,19,13,412,33,0,10,10,3,0,0,0,58,17,24,41.5
Watford,Brighton & Hove Albion,2017-08-26,0,0,0,0,8,0,0,1,470,10,8,13,0.3,0.3,0.3,14,0,275,375,73.3,37,262,13,11,8,4994,2098,131,149,87.9,98,128,76.6,38,79,48.1,0.3,7,27,6,2,306,69,23,0,5,11,29,3,2,1,0,0,8,4,9,1,0,6,11,54.5,5,6,7,18,34,0,57,150,221,110,13,470,72.7,3,27.3,1287,714,12,1,8,9,275,37,0,7,18,0,0,0,0,36,19,20,48.7,0,0,0,0,16,2,1,0,589,12,7,10,1.1,1.1,0.9,27,0,391,494,79.1,54,315,19,11,5,8520,2780,112,138,81.2,195,213,91.5,79,121,65.3,0.8,13,37,9,3,450,39,6,0,11,31,15,11,9,0,0,5,10,9,5,5,2,3,11,27.3,8,3,7,19,23,0,58,181,243,172,23,589,45.5,6,54.5,1794,1036,14,1,11,4,388,53,0,18,6,5,0,0,0,46,20,19,51.3
