home_team,away_team,date,home_goals,home_assists,home_pens_made,home_pens_att,home_shots,home_shots_on_target,home_cards_yellow,home_cards_red,home_touches,home_tackles,home_interceptions,home_blocks,home_xg,home_npxg,home_xg_assist,home_sca,home_gca,home_passes_completed,home_passes,home_passes_pct,home_progressive_passes,home_carries,home_progressive_carries,home_take_ons,home_take_ons_won,home_passes_total_distance,home_passes_progressive_distance,home_passes_completed_short,home_passes_short,home_passes_pct_short,home_passes_completed_medium,home_passes_medium,home_passes_pct_medium,home_passes_completed_long,home_passes_long,home_passes_pct_long,home_pass_xa,home_assisted_shots,home_passes_into_final_third,home_passes_into_penalty_area,home_crosses_into_penalty_area,home_passes_live,home_passes_dead,home_passes_free_kicks,home_through_balls,home_passes_switches,home_crosses,home_throw_ins,home_corner_kicks,home_corner_kicks_in,home_corner_kicks_out,home_corner_kicks_straight,home_passes_offsides,home_passes_blocked,home_tackles_won,home_tackles_def_3rd,home_tackles_mid_3rd,home_tackles_att_3rd,home_challenge_tackles,home_challenges,home_challenge_tackles_pct,home_challenges_lost,home_blocked_shots,home_blocked_passes,home_tackles_interceptions,home_clearances,home_errors,home_touches_def_pen_area,home_touches_def_3rd,home_touches_mid_3rd,home_touches_att_3rd,home_touches_att_pen_area,home_touches_live_ball,home_take_ons_won_pct,home_take_ons_tackled,home_take_ons_tackled_pct,home_carries_distance,home_carries_progressive_distance,home_carries_into_final_third,home_carries_into_penalty_area,home_miscontrols,home_dispossessed,home_passes_received,home_progressive_passes_received,home_cards_yellow_red,home_fouls,home_fouled,home_offsides,home_pens_won,home_pens_conceded,home_own_goals,home_ball_recoveries,home_aerials_won,home_aerials_lost,home_aerials_won_pct,away_goals,away_assists,away_pens_made,away_pens_att,away_shots,away_shots_on_target,away_cards_yellow,away_cards_red,away_touches,away_tackles,away_interceptions,away_blocks,away_xg,away_npxg,away_xg_assist,away_sca,away_gca,away_passes_completed,away_passes,away_passes_pct,away_progressive_passes,away_carries,away_progressive_carries,away_take_ons,away_take_ons_won,away_passes_total_distance,away_passes_progressive_distance,away_passes_completed_short,away_passes_short,away_passes_pct_short,away_passes_completed_medium,away_passes_medium,away_passes_pct_medium,away_passes_completed_long,away_passes_long,away_passes_pct_long,away_pass_xa,away_assisted_shots,away_passes_into_final_third,away_passes_into_penalty_area,away_crosses_into_penalty_area,away_passes_live,away_passes_dead,away_passes_free_kicks,away_through_balls,away_passes_switches,away_crosses,away_throw_ins,away_corner_kicks,away_corner_kicks_in,away_corner_kicks_out,away_corner_kicks_straight,away_passes_offsides,away_passes_blocked,away_tackles_won,away_tackles_def_3rd,away_tackles_mid_3rd,away_tackles_att_3rd,away_challenge_tackles,away_challenges,away_challenge_tackles_pct,away_challenges_lost,away_blocked_shots,away_blocked_passes,away_tackles_interceptions,away_clearances,away_errors,away_touches_def_pen_area,away_touches_def_3rd,away_touches_mid_3rd,away_touches_att_3rd,away_touches_att_pen_area,away_touches_live_ball,away_take_ons_won_pct,away_take_ons_tackled,away_take_ons_tackled_pct,away_carries_distance,away_carries_progressive_distance,away_carries_into_final_third,away_carries_into_penalty_area,away_miscontrols,away_dispossessed,away_passes_received,away_progressive_passes_received,away_cards_yellow_red,away_fouls,away_fouled,away_offsides,away_pens_won,away_pens_conceded,away_own_goals,away_ball_recoveries,away_aerials_won,away_aerials_lost,away_aerials_won_pct
Arsenal,Leicester City,2017-08-11,4,4,0,0,27,10,0,0,801,23,13,6,2.6,2.6,2.5,52,8,565,681,83.0,62,519,31,19,16,9782,3216,276,311,88.7,214,243,88.1,58,87,66.7,1.7,25,55,15,3,621,55,15,2,8,20,21,9,3,3,0,5,15,17,12,9,2,11,16,68.8,5,0,6,36,33,1,50,203,355,252,30,801,84.2,3,15.8,3015,1686,32,7,11,14,562,61,0,9,12,5,0,0,0,57,18,17,51.4,3,3,0,0,6,3,1,0,427,17,11,18,1.5,1.5,1.4,6,5,192,315,61.0,16,150,8,16,5,3820,2006,90,111,81.1,51,80,63.8,37,90,41.1,1.2,4,19,4,3,247,65,14,2,8,18,31,4,2,0,0,3,9,8,11,4,2,3,19,15.8,16,8,10,28,29,0,65,169,142,120,11,427,31.3,11,68.8,942,422,7,2,10,12,186,16,0,12,9,3,0,0,0,47,17,18,48.6
Watford,Liverpool,2017-08-12,3,1,0,0,9,4,0,0,566,19,11,15,2.2,2.2,0.6,14,5,307,448,68.5,24,281,13,17,11,6085,2464,120,144,83.3,114,153,74.5,53,109,48.6,0.5,5,27,3,1,391,54,9,2,5,16,26,3,3,0,0,3,15,12,7,11,1,5,11,45.5,6,1,14,30,28,1,60,185,271,115,10,566,64.7,6,35.3,1464,664,10,2,11,14,302,23,0,14,8,3,0,1,0,47,22,25,46.8,3,2,1,1,13,4,3,0,639,20,11,12,2.7,1.9,1.8,25,5,386,527,73.2,40,302,22,11,6,7313,2909,141,178,79.2,197,243,81.1,41,84,48.8,0.6,12,25,10,1,470,56,15,2,3,14,27,3,2,1,0,1,14,15,12,7,1,6,17,35.3,11,1,11,31,25,0,62,225,285,135,23,638,54.5,5,45.5,1860,1058,16,4,16,14,381,40,0,8,13,1,1,0,0,44,25,22,53.2
Crystal Palace,Huddersfield Town,2017-08-12,0,0,0,0,14,4,1,0,561,24,19,9,1.1,1.1,0.5,21,0,333,444,75.0,33,238,14,23,18,6513,2847,127,145,87.6,141,174,81.0,52,94,55.3,0.4,7,30,7,1,388,56,18,0,1,27,19,12,3,8,1,0,12,19,13,11,0,6,11,54.5,5,0,9,43,20,0,51,180,274,113,19,561,78.3,5,21.7,1488,751,14,4,12,23,329,33,0,7,19,0,0,0,1,52,18,16,52.9,2,2,0,0,9,6,3,0,460,28,9,12,1.5,1.5,1.3,14,4,230,356,64.6,18,167,12,11,5,4581,2165,93,121,76.9,87,125,69.6,37,85,43.5,0.9,6,15,4,1,297,57,7,1,1,14,30,9,5,0,1,2,11,19,15,10,3,5,23,21.7,18,3,9,37,32,0,67,173,166,127,13,460,45.5,6,54.5,1060,452,8,5,7,18,226,17,0,19,7,2,0,0,0,43,16,18,47.1
West Bromwich Albion,Bournemouth,2017-08-12,1,1,0,0,16,6,3,0,395,19,14,8,1.3,1.3,1.2,28,2,181,291,62.2,21,176,11,11,1,3861,1889,75,85,88.2,61,98,62.2,37,87,42.5,1.7,15,17,5,1,239,50,3,2,4,16,30,8,6,1,0,2,7,15,9,10,0,4,9,44.4,5,5,3,33,30,0,65,138,155,109,19,395,9.1,10,90.9,947,451,16,2,4,6,176,21,0,15,2,2,0,0,0,49,12,16,42.9,0,0,0,0,9,2,1,0,736,16,5,5,0.5,0.5,0.4,15,0,550,657,83.7,67,307,16,9,5,10852,3722,158,176,89.8,341,375,90.9,51,105,48.6,0.6,8,63,7,2,612,45,17,1,1,24,14,2,0,0,0,0,7,13,13,3,0,10,11,90.9,1,1,4,21,20,0,58,204,355,183,16,736,55.6,4,44.4,2154,760,9,5,8,15,548,67,0,3,15,0,0,0,0,43,16,12,57.1
Chelsea,Burnley,2017-08-12,2,2,0,0,19,6,5,2,667,10,9,6,1.5,1.5,1.3,37,4,468,568,82.4,48,394,25,8,5,8246,2448,210,225,93.3,192,220,87.3,49,90,54.4,0.9,14,34,5,1,526,40,11,0,5,26,13,8,2,5,0,2,9,8,6,3,1,1,3,33.3,2,1,5,19,23,0,51,201,268,203,23,667,62.5,3,37.5,2566,1440,17,4,17,5,467,48,1,16,11,2,0,0,0,44,15,21,41.7,3,3,0,0,10,5,3,0,453,8,13,13,0.6,0.6,0.4,19,6,257,348,73.9,26,190,4,3,2,6114,2521,59,80,73.8,137,158,86.7,61,100,61.0,0.6,8,22,7,4,306,41,16,0,0,16,7,5,1,3,0,1,6,4,6,2,0,3,8,37.5,5,7,6,21,44,0,73,168,212,74,11,453,66.7,1,33.3,942,460,12,1,10,9,254,25,0,11,15,1,0,0,0,30,21,15,58.3
Everton,Stoke City,2017-08-12,1,1,0,0,9,4,1,0,670,17,19,6,0.6,0.6,0.5,13,2,425,545,78.0,32,313,11,7,1,7912,2670,181,205,88.3,179,215,83.3,52,93,55.9,0.8,6,30,8,4,487,56,15,1,5,18,24,6,3,2,0,2,10,12,9,5,3,3,13,23.1,10,2,4,36,43,0,73,227,308,142,22,670,14.3,6,85.7,1697,880,8,4,18,12,422,32,0,13,10,2,0,0,0,40,19,23,45.2,0,0,0,0,9,1,1,0,473,18,24,10,0.4,0.4,0.3,14,0,233,356,65.4,34,190,12,13,10,4563,2068,97,114,85.1,90,126,71.4,37,88,42.0,0.6,6,25,9,1,291,59,15,0,1,27,27,7,4,2,1,6,8,12,11,5,2,6,7,85.7,1,2,8,42,26,1,49,154,192,135,16,473,76.9,3,23.1,1434,729,10,5,17,14,227,33,0,10,13,6,0,0,0,38,23,19,54.8
Southampton,Swansea City,2017-08-12,0,0,0,0,29,2,2,0,672,12,12,8,2.0,2.0,1.7,54,0,468,580,80.7,66,445,24,8,6,7716,2455,244,267,91.4,169,204,82.8,39,74,52.7,1.5,23,42,19,7,523,57,13,1,5,35,26,13,9,1,0,0,17,10,5,7,0,2,6,33.3,4,2,6,24,11,0,23,99,316,262,37,672,75.0,2,25.0,2171,1202,19,5,13,9,466,66,0,10,12,0,0,0,0,58,17,17,50.0,0,0,0,0,4,0,1,0,497,11,8,25,0.3,0.3,0.2,6,0,301,392,76.8,24,152,5,6,4,6361,2373,104,121,86.0,142,170,83.5,52,92,56.5,0.1,3,18,2,1,343,48,10,0,5,8,15,0,0,0,0,1,6,8,5,4,2,2,8,25.0,6,11,14,19,41,1,93,211,234,57,5,497,66.7,2,33.3,897,446,4,1,11,10,298,24,0,13,10,1,0,0,0,41,17,17,50.0
Brighton & Hove Albion,Manchester City,2017-08-12,0,0,0,0,6,2,0,0,343,10,12,10,0.3,0.3,0.1,9,0,146,248,58.9,5,126,3,9,7,3001,1685,64,91,70.3,48,68,70.6,26,65,40.0,0.2,2,9,1,0,198,44,9,0,1,8,18,3,2,1,0,6,7,8,9,1,0,6,12,50.0,6,5,5,22,43,1,76,177,119,51,9,343,77.8,2,22.2,737,366,5,1,2,8,144,4,0,6,8,6,0,0,1,42,13,13,50.0,1,1,0,0,14,4,2,0,897,10,9,9,1.9,1.9,1.2,25,2,718,820,87.6,87,566,34,12,6,11768,3285,330,359,91.9,282,312,90.4,60,85,70.6,2.4,9,70,16,1,777,42,10,3,10,27,17,10,1,5,0,1,9,6,6,4,0,2,9,22.2,7,2,7,19,8,1,28,130,474,298,27,897,50.0,6,50.0,3154,1779,26,3,14,4,715,87,0,9,6,1,0,0,0,41,13,13,50.0
Newcastle United,Tottenham Hotspur,2017-08-13,0,0,0,0,6,2,1,1,403,12,8,17,0.8,0.8,0.7,10,0,186,296,62.8,17,189,11,7,4,3510,1574,80,104,76.9,72,96,75.0,25,70,35.7,0.2,5,13,4,1,243,51,10,3,2,19,26,5,3,1,0,2,9,9,9,3,0,6,16,37.5,10,7,10,20,33,0,67,173,142,92,14,403,57.1,3,42.9,1199,627,10,4,8,13,185,17,0,6,9,2,0,0,0,43,14,15,48.3,2,2,0,0,18,6,2,0,865,16,5,5,2.5,2.5,1.9,30,4,663,756,87.7,65,530,25,17,10,11479,3340,289,306,94.4,318,342,93.0,46,77,59.7,1.3,14,45,13,1,708,47,8,5,1,19,26,7,2,1,0,1,14,11,8,6,2,2,6,33.3,4,0,5,21,26,0,51,181,462,227,25,865,58.8,5,29.4,2609,1466,24,2,13,5,660,65,0,10,6,1,0,0,0,46,15,14,51.7
Manchester United,West Ham United,2017-08-13,4,4,0,0,21,5,2,0,648,14,11,6,2.1,2.1,1.9,39,7,442,538,82.2,42,355,29,31,23,7647,2869,215,241,89.2,167,188,88.8,46,79,58.2,2.2,16,35,8,2,486,51,11,9,6,20,21,11,1,6,0,1,9,8,3,6,5,2,5,40.0,3,1,5,25,21,0,47,171,305,178,32,648,74.2,8,25.8,1999,1169,19,12,11,13,437,42,0,19,7,1,0,0,0,56,21,13,61.8,0,0,0,0,9,1,2,0,541,21,12,14,0.5,0.5,0.4,17,0,331,433,76.4,36,287,9,5,3,5924,2231,145,167,86.8,125,152,82.2,41,80,51.3,0.5,7,24,6,0,377,52,20,1,1,14,13,1,0,1,0,4,7,16,12,7,2,8,31,25.8,23,8,6,33,27,1,77,185,251,109,11,541,60.0,2,40.0,1483,727,8,0,10,12,327,36,0,7,19,4,0,0,0,55,13,21,38.2
